x,y,label
7.264455,7.570964,1
6.5061746,4.7433386,1
5.16741,5.7038198,1
4.8955364,1.4558624,1
-0.63057804,4.0321517,1
4.875225,5.8597403,1
6.716101,4.228962,1
-0.08837862,6.1416707,1
1.6545974,5.1923947,1
-0.58853453,4.0150175,1
7.91077,6.4686494,1
7.205073,3.037965,1
4.3870764,8.396888,1
6.215886,5.4238286,1
6.3773055,0.12556726,1
10.436513,6.053268,1
8.593771,5.735576,1
5.7762017,0.36475202,1
0.10840426,6.398265,1
8.4685335,2.035016,1
1.9307601,6.309758,1
6.9833064,2.4615521,1
8.251569,6.790779,1
5.247829,0.0144307455,1
10.194982,4.257743,1
2.948309,3.9870992,1
9.802299,7.271761,1
2.4416733,6.8727193,1
9.25355,6.939959,1
5.7450976,8.732026,1
5.104976,3.024984,1
0.9458763,5.90702,1
4.895324,5.0046954,1
4.3981338,1.4378432,1
1.9534093,3.8561773,1
8.77381,4.8787756,1
3.988359,3.1922364,1
-0.7363295,3.4576771,1
4.24349,1.2229419,1
3.446474,4.5291657,1
4.3296523,7.4821663,1
8.582724,6.528178,1
6.125889,4.0112305,1
4.6795726,2.6279001,1
4.4994793,4.42277,1
5.1117077,7.420669,1
4.931423,7.919786,1
8.655471,6.8976874,1
5.2893505,2.971727,1
3.7876568,2.408095,1
10.397921,5.287297,1
4.1703153,4.605349,1
5.863829,6.6904793,1
4.341785,1.869858,1
10.998029,4.9019184,1
2.475718,6.116284,1
9.743756,4.5041804,1
10.902589,6.102238,1
1.189531,3.8672616,1
10.10988,4.5210686,1
4.626408,7.6833243,1
3.2456715,3.8284087,1
10.730458,6.351865,1
5.299879,0.8809569,1
-0.09317635,4.5447135,1
1.7528517,5.83696,1
3.1828945,6.915277,1
7.052297,2.6703446,1
4.7952003,4.679146,1
3.552688,7.7474775,1
9.142596,4.539195,1
0.567182,3.237053,1
6.70562,6.8400264,1
2.2398634,5.1331263,1
1.0617179,7.6302085,1
9.877929,5.5850897,1
7.2598834,2.0961874,1
3.2457976,5.7988687,1
9.352015,6.1465826,1
7.6443815,6.6608424,1
6.0602903,2.7765498,1
6.7497764,6.89381,1
7.5308075,1.0687255,1
6.343286,0.1492289,1
9.050509,2.9505465,1
4.338837,7.2860036,1
6.11359,3.3953702,1
1.1297922,6.0417733,1
1.6534524,6.54864,1
0.5689863,2.4700644,1
2.7879562,4.0748196,1
8.947125,3.33131,1
2.5068412,0.4648944,1
9.762057,3.0466764,1
6.0223274,2.3782613,1
5.059465,8.68753,1
1.9785467,5.943546,1
3.0814335,0.087336555,1
2.7694833,1.0621537,1
8.37344,6.457367,1
5.700811,6.8441353,1
2.4598856,5.3056407,1
6.0463696,0.90806454,1
6.28285,8.34973,1
0.7407692,4.788362,1
5.9543366,8.725679,1
7.985644,5.6463633,1
2.8825,2.691881,1
7.1177554,4.305056,1
7.5182505,6.7755213,1
9.221687,5.4564605,1
3.2272866,1.517163,1
9.154769,6.211555,1
-0.07517147,4.8948793,1
1.5549134,4.26617,1
8.338657,3.2875264,1
6.042532,3.9850633,1
2.6839583,7.2875032,1
9.694531,4.129446,1
3.4958084,8.8285,1
5.380788,7.138302,1
4.0630884,8.634178,1
5.7851925,2.1765828,1
4.2700667,8.900165,1
6.378793,2.6454399,1
-0.024901299,5.510929,1
5.713612,5.914825,1
10.093131,4.9421535,1
8.366343,7.1097555,1
5.294404,0.9812235,1
6.53377,2.3721023,1
8.0019655,4.1976438,1
1.8834555,5.1483207,1
2.218251,6.3994355,1
4.5136323,1.0380665,1
8.908909,7.918178,1
10.578153,5.2015,1
4.1842227,8.593312,1
8.568335,5.9363713,1
5.9224954,6.7563443,1
7.325493,2.0685384,1
8.049545,6.43096,1
2.2056353,5.5569673,1
0.1723738,3.2572718,1
3.4040198,6.1116176,1
6.339661,1.0965719,1
7.9099817,3.0242062,1
10.486947,5.4731555,1
7.04712,2.8637676,1
7.188046,1.6460855,1
2.224404,5.3462324,1
3.379502,1.5031779,1
5.464846,3.6618912,1
11.107542,5.6142073,1
